"Refs","Value","Footprint","Qty","DNP"
"C1","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"RV1","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1",""
"RV2","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1",""
"RV3","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1",""
"RV4","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1",""
"RV5","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1",""
"U1","Arduino_Nano_v3.x","Module:Arduino_Nano","1",""
